condition medium, random seed 649601
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
17.8, 0, 0, 0, 0, 0, 0, 1, 0.07195812, 1.163993, 0.5031605, 0.5251393, 0.2600576, -0.4585041, -0.6681114, 0.001594329, 1.169615, 0.1385612, -0.08715568, 0, 0, -0.9961947, 0.006929748, 1.211332, 0.5263231, 0.5046635, -0.559728, -0.2354567, -0.6136608
17.85, 0, 0, 0, 0, 0, 0, 1, 0.1008298, 0.9687892, 0.5670846, 0.3387368, 0.3345211, -0.3070101, -0.824074, 0.001594329, 1.169602, 0.1385765, -0.08715568, 0, 0, -0.9961947, 0.04311747, 1.006338, 0.6146811, 0.26387, -0.5102558, -0.3279541, -0.749972
17.9, 0, 0, 0, 0, 0, 0, 1, 0.0914632, 0.7568124, 0.5282363, 0.1174118, 0.438416, -0.08790466, -0.8867235, 0.001594329, 1.169576, 0.138609, -0.08715568, 0, 0, -0.9961947, 0.03101749, 0.7718394, 0.5841523, -0.005409673, -0.3511837, -0.3805688, -0.8554579
17.95, 0, 0, 0, 0, 0, 0, 1, 0.06767195, 0.5992886, 0.4126558, -0.08760558, 0.511734, 0.1701118, -0.8375652, 0.00159433, 1.169471, 0.138737, -0.08715568, 0, 0, -0.9961947, -0.001560621, 0.5993481, 0.4596978, -0.2645826, -0.1330225, -0.3549921, -0.8867253
18, 0, 0, 0, 0, 0, 0, 1, 0.06179379, 0.520457, 0.2892638, -0.2518876, 0.5129014, 0.4200717, -0.7049997, 0.001594329, 1.16936, 0.1388732, -0.08715568, 0, 0, -0.9961947, -0.01413903, 0.5191462, 0.3244573, -0.4890813, 0.0779303, -0.2614532, -0.8284737
18.05, 0, 0, 0, 0, 0, 0, 1, 0.07898378, 0.4869797, 0.2351136, -0.3303311, 0.4501368, 0.5004012, -0.6617076, 0.001594328, 1.169343, 0.1388953, -0.08715568, 0, 0, -0.9961947, 0.003539309, 0.4790107, 0.2704792, -0.5963805, 0.1136437, -0.2285044, -0.7610527
18.1, 0, 0, 0, 0, 0, 0, 1, 0.0761146, 0.513074, 0.2757386, -0.3045084, 0.4846578, 0.4525977, -0.6837666, 0.001594328, 1.169368, 0.1388637, -0.08715568, 0, 0, -0.9961947, -0.0001390949, 0.5065027, 0.309625, -0.5455529, 0.09924339, -0.2595156, -0.7906798
18.15, 0, 0, 0, 0, 0, 0, 1, 0.07501569, 0.574496, 0.351785, -0.2600473, 0.542512, 0.3732236, -0.7062296, 0.001594329, 1.169407, 0.1388159, -0.08715568, 0, 0, -0.9961947, -0.003069542, 0.5705378, 0.3816703, -0.4556953, 0.08427978, -0.3058884, -0.8316677
18.2, 0, 0, 0, 0, 0, 0, 1, 0.07133665, 0.6745682, 0.4336047, -0.2054419, 0.6083706, 0.2505082, -0.7245168, 0.001594329, 1.169448, 0.138765, -0.08715568, 0, 0, -0.9961947, -0.008950472, 0.6703551, 0.4568927, -0.3279018, 0.06091097, -0.3745492, -0.8651494
18.25, 0, 0, 0, 0, 0, 0, 1, 0.06352443, 0.8128859, 0.4975435, -0.1297953, 0.6627967, 0.08020957, -0.7330895, 0.001594329, 1.169501, 0.1387004, -0.08715568, 0, 0, -0.9961947, -0.01796574, 0.804582, 0.5147625, -0.1566814, 0.01573324, -0.4536577, -0.8771535
18.3, 0, 0, 0, 0, 0, 0, 1, 0.05550057, 0.9734797, 0.5236897, -0.02070049, 0.6718373, -0.1357009, -0.7278677, 0.001594329, 1.169589, 0.1385932, -0.08715568, 0, 0, -0.9961947, -0.02506705, 0.9590772, 0.5412261, 0.05562224, -0.0734176, -0.522486, -0.8476582
18.35, 0, 0, 0, 0, 0, 0, 1, 0.03963111, 1.135699, 0.4927523, 0.1306531, 0.6150677, -0.3732029, -0.6821592, 0.00159433, 1.169601, 0.1385765, -0.08715568, 0, 0, -0.9961947, -0.03911781, 1.120138, 0.5164702, 0.3011572, -0.1978192, -0.5458478, -0.7564538
18.4, 0, 0, 0, 0, 0, 0, 1, 0.01639736, 1.255425, 0.4094598, 0.2868935, 0.5037025, -0.5669772, -0.5852459, 0.001594329, 1.169613, 0.1385627, -0.08715568, 0, 0, -0.9961947, -0.06173002, 1.245646, 0.4378599, 0.5208377, -0.3124072, -0.5062443, -0.6122472
18.45, 0, 0, 0, 0, 0, 0, 1, -0.002217367, 1.30254, 0.339891, -0.3967237, -0.4052129, 0.6629456, 0.4887904, 0.001594329, 1.169643, 0.1385268, -0.08715568, 0, 0, -0.9961947, -0.0814345, 1.29944, 0.3667451, -0.6519524, 0.3754758, 0.4380994, 0.4919807
18.5, 0, 0, 0, 0, 0, 0, 1, 0.008197846, 1.309758, 0.3493739, -0.4410421, -0.3561134, 0.6713525, 0.4774421, 0.00159433, 1.169636, 0.138534, -0.08715568, 0, 0, -0.9961947, -0.07133891, 1.314038, 0.3750971, -0.6742457, 0.4153869, 0.3967448, 0.4641552
18.55, 0, 0, 0, 0, 0, 0, 1, 0.06926549, 1.291516, 0.431652, -0.4159598, -0.3198446, 0.633625, 0.5685036, 0.001594329, 1.16963, 0.1385418, -0.08715568, 0, 0, -0.9961947, -0.005569257, 1.306694, 0.4659373, -0.5955548, 0.4779192, 0.4052148, 0.5027014
18.6, 0, 0, 0, 0, 0, 0, 1, 0.1784159, 1.209353, 0.5285856, 0.3113155, 0.2791443, -0.57171, -0.7059099, 0.001594329, 1.169623, 0.1385507, -0.08715568, 0, 0, -0.9961947, 0.1169506, 1.229347, 0.5817679, 0.4352643, -0.5417111, -0.4619027, -0.5511262
18.65, 0, 0, 0, 0, 0, 0, 1, 0.2703308, 1.056488, 0.5743968, 0.1642712, 0.2713055, -0.4972119, -0.807582, 0.001594329, 1.16962, 0.1385545, -0.08715568, 0, 0, -0.9961947, 0.2227427, 1.065717, 0.642634, 0.2605996, -0.5450611, -0.536956, -0.588791
18.7, 0, 0, 0, 0, 0, 0, 1, 0.3027662, 0.8644741, 0.5588542, 0.002763097, 0.3269382, -0.3942989, -0.8588551, 0.001594329, 1.169597, 0.1385828, -0.08715568, 0, 0, -0.9961947, 0.2595429, 0.8513135, 0.6293144, 0.09287443, -0.4626696, -0.6072257, -0.6392092
18.75, 0, 0, 0, 0, 0, 0, 1, 0.2823138, 0.6673685, 0.4770263, -0.1875303, 0.4226055, -0.2144124, -0.8603862, 0.00159433, 1.169537, 0.1386564, -0.08715568, 0, 0, -0.9961947, 0.2331834, 0.6289499, 0.5328502, -0.115436, -0.290873, -0.6440417, -0.6980529
